"Date","aluminum","ammonium ion","antimony","arsenic","barium","bromine","cadmium","calcium","chlorine","chromium","cobalt","copper","elemental carbon","iron","lead","magnesium","manganese","nickel","organic carbon","potassium ion","selenium","silicon","sodium","sulfur","titanium","total nitrate","vanadium","zinc"
"2001-01-28",0,1.97,0.001,0.001,0.016,0.00244,0,0.0348,0.0046,0.001,0,0.00244,NA,0.058,0.0069,0.001,0.0016,0.0176,NA,0.024,0.001,0.0509,0.069,1.49,0.0019,2.37,0.00385,0.0435
"2001-01-31",0,3.73,0,0.0027,0.03,0.0103,0,0.0771,0.272,0.00141,0,0.0101,NA,0.376,0.0259,0,0.0097,0.0464,NA,0.047,0.005,0.171,0.138,2.18,0.0096,4.69,0.0219,0.111
"2001-02-03",0,0.01,0.004,0.0011,0.025,0,0,0.0048,0,0,0,0,NA,0.0058,0.002,0,0,0.00136,NA,0,0.001,0.0273,0,0.0551,0,0.062,0.001,0.00169
"2001-02-06",0,3.67,0,0,0.018,0,0,0.0043,0.0114,0,0,0.001,NA,0.0094,0.002,0.004,0,0.00173,NA,0.035,0.001,0.0062,0.032,0.158,0.001,4.57,0.001,0.0023
"2001-02-09",0,0.024,0,0,0.012,0.00263,0.002,0.0206,0.0164,0,0,0.00141,NA,0.0647,0.0092,0,0.0013,0.0114,NA,0,0.001,0.0939,0.071,0.552,0.0023,0.187,0.00441,0.0136
"2001-02-12",0,1.09,0,0,0.019,0.00244,0,0.0348,0.0085,0,0,0.00403,NA,0.0825,0.0057,0.003,0,0.0244,NA,0,0,0.186,0.113,0.685,0.0025,1.92,0.00881,0.0226
"2001-02-18",0,1.36,0.002,0,0.012,0.00427,0.001,0.0309,0,0.00098,0,0.00159,NA,0.0486,0.0066,0.0203,0.001,0.0162,NA,0.01,0.001,0.0369,0.114,1.08,0.0021,1.53,0.00375,0.0227
"2001-02-21",0,0.023,0,0,0.026,0,0.003,0.0039,0,0,0,0,NA,0.0049,0.002,0,0,0,NA,0,0,0.0138,0.076,0.0471,0,0.123,0,8e-04
"2001-02-24",0,1.99,0.006,0,0.029,0.00459,0.001,0.0444,0.276,0,0,0.00436,NA,0.096,0.0096,0.0109,0.0017,0.0328,NA,0.01,0.001,0.0718,0.101,1.17,0.004,3.12,0.00928,0.0338
"2001-02-27",0,2.33,0.001,0,0.033,0.0031,0.001,0.0408,0.001,0,0,0.00352,NA,0.104,0.006,0.0161,0.0021,0.0209,NA,0,0,0.0831,0.083,1.54,0.0039,3.17,0.0061,0.0358
"2001-03-02",0,5.01,0.006,0.001,0.013,0.00567,0,0.059,0.0521,0.00122,0,0.00671,NA,0.206,0.0141,0.0099,0.0044,0.0398,NA,0.02,0.001,0.102,0.077,2.13,0.0061,8.69,0.0116,0.0628
"2001-03-05",0,0.934,0.002,0.001,0.017,0.0023,0.003,0.0244,0.0055,0,0,0.00131,NA,0.0488,0.0032,0.001,0,0.0271,NA,0,0,0.0444,0.091,1.04,0.0016,0.758,0.00952,0.0264
"2001-03-11",0,2.82,0.003,0.0033,0.02,0.0061,0,0.0355,0.0058,0,0,0.00328,NA,0.085,0.0098,0,0.0021,0.0318,NA,0.02,0.003,0.164,0.06,1.9,0.0045,3.47,0.0084,0.0305
"2001-03-14",0,1.82,0.002,0.0017,0.042,0.00333,0.004,0.04,0.001,0,0,0.0117,NA,0.1,0.0077,0,0.001,0.0184,NA,0,0,0.108,0.035,1.35,0.0031,2.22,0.00549,0.0235
"2001-03-17",0,2.81,0.001,0.0034,0.017,0.00347,0,0.0359,0.0118,0,0,0.00371,NA,0.0945,0.0083,0.012,0.001,0.0228,NA,0.028,0,0.0875,0.042,1.38,0.0043,5.46,0.00774,0.0274
"2001-03-20",0.004,1.02,0.0095,0,0.027,0.00885,0,0.0506,0.003,0,0,0.0047,NA,0.113,0.0059,0,0.001,0.0217,NA,0.028,0,0.0848,0,0.728,0.0042,1.9,0.00714,0.026
"2001-03-23",0,0.646,0.004,0.0013,0.02,0.00188,0.001,0.0295,0,8e-04,0,0.00347,NA,0.0631,0.0047,0.001,0,0.0113,NA,0,0,0.108,0,0.701,0.0032,0.261,0.00342,0.0369
"2001-03-26",0,2.15,0,0.001,0.032,0.00371,0,0.0285,0.0071,0.00188,0,0.003,NA,0.0962,0.0049,0.005,0.002,0.0199,NA,0.028,0,0.104,0.064,1.52,0.0028,2.94,0.00633,0.0325
"2001-03-29",0,3.99,0,0.0016,0.018,0.0061,0.001,0.0379,0.113,0,0,0.00234,NA,0.106,0.004,0,0.0029,0.0185,NA,0.025,0.001,0.132,0.132,1.67,0.0054,7.22,0.00886,0.0235
"2001-04-01",0,2.59,0.001,0,0.041,0.00356,0.003,0.0221,0.0104,0,0,0.00441,NA,0.0491,0.0051,0,0.0013,0.0191,NA,0.026,0.001,0.103,0.077,1.93,0.0017,3.13,0.00835,0.0193
"2001-04-04",0.0058,1.58,0.007,0.0019,0.019,0.00328,0,0.0468,0.003,0,0,0.00249,NA,0.103,0.0037,0,0.0013,0.025,NA,0.03,0.001,0.0836,0.08,1.2,0.0058,2.01,0.0113,0.0192
"2001-04-07",0,3.54,0.001,0.0019,0.023,0.00483,0.003,0.0288,0.0057,0,0,0.00427,NA,0.079,0.008,0,0.0016,0.0156,NA,0.032,0.001,0.0795,0.064,2,0.0042,4.99,0.00853,0.0219
"2001-04-10",0,1.82,0.001,0,0.011,0.0015,0,0.0319,0.002,0.001,0,0.00281,NA,0.0749,0.006,0,0.001,0.0193,NA,0.02,0.001,0.073,0.076,1.06,0.0032,3.18,0.0127,0.0141
"2001-04-13",0,1.87,0.001,0.0025,0.02,0.00211,0.001,0.0403,0,0,0,0.00314,NA,0.145,0.0066,0,0.002,0.0318,NA,0,0.001,0.116,0.031,1.5,0.0053,2.3,0.0132,0.0408
"2001-04-16",0.007,1.04,0.002,0.0024,0.019,0.00202,0,0.0341,0,0,0,0.00202,NA,0.0921,0.0027,0,0.0016,0.0132,NA,0.01,0,0.0863,0.034,0.823,0.0061,1.26,0.00549,0.0146
