factor,Chemicals,Loadings
1,aluminum,0.2311601743193359
1,ammonium ion,0.046113849678899074
1,arsenic,0.03259542749733843
1,barium,9.093246594691396e-13
1,bromine,0.06132372170948849
1,cadmium,8.941649861854995e-13
1,calcium,0.10807231608631149
1,chlorine,1.0808346841693573e-12
1,chromium,1.422952816173758e-8
1,copper,0.10001147152801676
1,elemental carbon,0.12089281672308418
1,iron,0.17082933178377152
1,lead,0.02570032070804374
1,magnesium,0.01498247140450253
1,manganese,0.08795803171815296
1,nickel,0.0074561807274142805
1,organic carbon,0.13782904664361817
1,potassium ion,0.030963238404449846
1,selenium,3.4246409579045e-11
1,silicon,0.2467086398379959
1,sodium,0.06274858799943196
1,sulfur,0.12468479474915514
1,titanium,0.2682763391078351
1,total nitrate,5.72323072333092e-13
1,vanadium,0.09344725707461864
1,zinc,7.879294844849966e-4
2,aluminum,0.01062623360160464
2,ammonium ion,1.9927521188237947e-11
2,arsenic,0.015714936272102395
2,barium,2.299734799256144e-9
2,bromine,0.05997156330344598
2,cadmium,1.7213551422171573e-12
2,calcium,0.03132013975919662
2,chlorine,0.22166838931875682
2,chromium,3.156767745776697e-12
2,copper,2.6524099273630822e-5
2,elemental carbon,0.00807238847765905
2,iron,0.011681000276465747
2,lead,1.2470221568226845e-12
2,magnesium,0.2943347230383142
2,manganese,1.4118223572220362e-4
2,nickel,0.01370102224335114
2,organic carbon,0.01271159773163475
2,potassium ion,0.035843002817516734
2,selenium,6.042913317251959e-10
2,silicon,0.018332548191492305
2,sodium,0.28789138341612325
2,sulfur,0.00918419215070308
2,titanium,9.162587195943679e-4
2,total nitrate,0.020156865176689354
2,vanadium,0.0030552601863302253
2,zinc,0.009373014457246602
3,aluminum,1.613905326785546e-7
3,ammonium ion,0.0723178850879538
3,arsenic,0.043620321910168694
3,barium,2.5703903603771396e-12
3,bromine,0.07139509538972112
3,cadmium,8.881746641394523e-13
3,calcium,0.16973986337754068
3,chlorine,0.050164481955570044
3,chromium,1.6183971327510564e-12
3,copper,0.12584295944369903
3,elemental carbon,0.15148768504126467
3,iron,0.09864607223955654
3,lead,0.16046781922903366
3,magnesium,8.173915957906944e-13
3,manganese,0.1946082011897102
3,nickel,0.22741665120962473
3,organic carbon,0.06395536958205526
3,potassium ion,0.04233103869354467
3,selenium,4.766473695754735e-11
3,silicon,0.0252676199793435
3,sodium,0.05230329867200792
3,sulfur,1.2884616118469613e-5
3,titanium,0.019784832258861663
3,total nitrate,0.16009934012106042
3,vanadium,0.09964761851504128
3,zinc,0.23865376057408189
4,aluminum,0.02379507590974839
4,ammonium ion,0.19322995411515045
4,arsenic,0.11688017845932117
4,barium,9.117913709462149e-13
4,bromine,0.09756683311577638
4,cadmium,3.285627162916591e-12
4,calcium,0.0036492234977684606
4,chlorine,8.550462636382229e-13
4,chromium,1.4744657782920561e-12
4,copper,0.025443721002792442
4,elemental carbon,0.005759001987967838
4,iron,0.012378596790347538
4,lead,0.03126899929985875
4,magnesium,3.4393403999950306e-4
4,manganese,0.014228385919265892
4,nickel,0.023162609734152836
4,organic carbon,0.09872712528388088
4,potassium ion,0.06940507998677449
4,selenium,0.20789200055723225
4,silicon,0.022638364874472697
4,sodium,1.4177881536092061e-6
4,sulfur,0.18862976256140482
4,titanium,2.6091558484282875e-10
4,total nitrate,0.10198428804725389
4,vanadium,0.0817270974282911
4,zinc,3.2270126719422848e-12
5,aluminum,0.0036129829168517857
5,ammonium ion,1.1395587650172396e-12
5,arsenic,1.463257399384431e-12
5,barium,9.829757347369135e-12
5,bromine,0.018440925131835796
5,cadmium,0.41120044671617106
5,calcium,0.03230107429688572
5,chlorine,2.1778449535542008e-12
5,chromium,0.002858146833064372
5,copper,2.484142728935697e-7
5,elemental carbon,0.026671938900401575
5,iron,0.0302960483147884
5,lead,0.02702039785576461
5,magnesium,1.9921324216114135e-6
5,manganese,0.003675189440746913
5,nickel,0.02065130524501701
5,organic carbon,0.02635080993447792
5,potassium ion,0.006651446943461952
5,selenium,0.028303199868930314
5,silicon,0.014733771516593447
5,sodium,0.01542491959179969
5,sulfur,0.005588494930940784
5,titanium,0.027255361543846408
5,total nitrate,0.013072900845947191
5,vanadium,0.0038508008080579055
5,zinc,0.03821678354889276
6,aluminum,0.04208610932689197
6,ammonium ion,1.5944258593328742e-5
6,arsenic,0.05436077051063032
6,barium,2.5866917276876455e-12
6,bromine,0.025423484619966977
6,cadmium,2.579140685093619e-12
6,calcium,0.0051364416464889165
6,chlorine,2.824778729805653e-12
6,chromium,0.2726785756315557
6,copper,0.06694980759710072
6,elemental carbon,0.021477647065644142
6,iron,0.08727411669262662
6,lead,4.1308553365464775e-4
6,magnesium,5.877824825696201e-10
6,manganese,0.05379733214023735
6,nickel,0.06038466636961112
6,organic carbon,0.029648121370502212
6,potassium ion,0.005348277350803983
6,selenium,9.609192183125585e-4
6,silicon,0.004868098874237682
6,sodium,1.7802365576595296e-12
6,sulfur,3.761192376429447e-4
6,titanium,1.5031699927680247e-12
6,total nitrate,0.011190436514774105
6,vanadium,1.3625037248834536e-8
6,zinc,0.007963722880704956
7,aluminum,0.012257376392042179
7,ammonium ion,9.980088374489968e-13
7,arsenic,0.03129979836414094
7,barium,0.32761376077450705
7,bromine,0.033681980652981405
7,cadmium,1.2734161730550024e-12
7,calcium,0.03001875937359758
7,chlorine,1.6685388659750106e-12
7,chromium,5.618759901438512e-7
7,copper,0.0970187304560729
7,elemental carbon,0.06226088164782543
7,iron,0.05499573752808186
7,lead,0.04543142219440815
7,magnesium,0.07659580066091469
7,manganese,0.02290777631827317
7,nickel,1.0912639754526623e-12
7,organic carbon,0.054437449219694574
7,potassium ion,0.070064705209832
7,selenium,0.02341131291127458
7,silicon,0.015054707030270264
7,sodium,1.037131273984989e-12
7,sulfur,1.7855144512049452e-6
7,titanium,0.04241597467154176
7,total nitrate,0.020781370425788575
7,vanadium,1.1199205476692914e-12
7,zinc,0.04558260366916039
