date_local,pm2.5_total,aluminum_pm2_5_lc_88104,arsenic_pm2_5_lc_88103,barium_pm2_5_lc_88107,bromine_pm2_5_lc_88109,cadmium_pm2_5_lc_88110,calcium_pm2_5_lc_88111,chromium_pm2_5_lc_88112,copper_pm2_5_lc_88114,iron_pm2_5_lc_88126,lead_pm2_5_lc_88128,magnesium_pm2_5_lc_88140,manganese_pm2_5_lc_88132,nickel_pm2_5_lc_88136,selenium_pm2_5_lc_88154,silicon_pm2_5_lc_88165,sulfate_pm2_5_lc_88403,sulfur_pm2_5_lc_88169,titanium_pm2_5_lc_88161,total_nitrate_pm2_5_lc_88306,vanadium_pm2_5_lc_88164,zinc_pm2_5_lc_88167
2000-01-01,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-02,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-03,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-04,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-06,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-07,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-08,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-09,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-10,17.633333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-11,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-12,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-13,12.833333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-16,10.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
